NombreChequeador,FechaDespacho,HoraDespacho,Carrier,NumeroGuia,CantidadDespachada,PaisDestino,ClienteID
Melissa Hernandez C,2013-11-08,7:00:00,DHL,NIC-17DPIJU3TIKI2O,2,Nicaragua,325
Juan Gomez H,2013-11-08,11:00:00,FedEx,GTM-WS6XJVTU9PH0B3,3,Guatemala,20
Javier Viquez T,2013-11-08,11:00:00,Correos de Costa Rica,CRC-OL75VMSGMCXSF9,2,Costa Rica,270
Melissa Hernandez C,2013-11-08,11:00:00,FedEx,PAN-KO9GJIFH8HV9RC,1,Panama,43
Javier Viquez T,2013-11-08,11:00:00,DHL,NIC-ZD9JX6A0IR6XZE,2,Nicaragua,343
Victor Arias B,2013-11-09,7:00:00,DHL,PAN-XIQQIC3ROUHW36,3,Panama,367
Pedro Rodriguez O,2013-11-09,12:00:00,UPS,GTM-RHIESMVRES0N87,1,Guatemala,181
Victor Arias B,2013-11-09,7:00:00,DHL,CRC-7Y85QZ15JOSKXW,2,Costa Rica,387
Juan Gomez H,2013-11-09,9:00:00,Correos de Costa Rica,PAN-3V9VIQ540IVV4N,3,Panama,304
Juan Gomez H,2013-11-10,9:00:00,DHL,NIC-MN46OQTJ67LFBF,2,Nicaragua,30
Melissa Hernandez C,2013-11-10,8:00:00,DHL,GTM-JF576SL2ICIXJ9,1,Guatemala,241
Javier Viquez T,2013-11-10,7:00:00,DHL,GTM-TQU6FR6ESZXHXQ,3,Guatemala,53
Juan Gomez H,2013-11-10,7:00:00,Correos de Costa Rica,GTM-X21JOA858WMD4Z,2,Guatemala,319
Victor Arias B,2013-11-11,10:00:00,Correos de Costa Rica,GTM-RU7JJKPZYL0F3V,3,Guatemala,323
Victor Arias B,2013-11-11,8:00:00,FedEx,CRC-7DNIWDAUKLAMVV,2,Costa Rica,346
Javier Viquez T,2013-11-11,7:00:00,Correos de Costa Rica,PAN-ZU30NS7A9T06AS,2,Panama,371
Victor Arias B,2013-11-11,8:00:00,DHL,CRC-OX9HWUZJVH622E,1,Costa Rica,424
Victor Arias B,2013-11-11,11:00:00,DHL,NIC-CRNILD5FFKF4YC,2,Nicaragua,7
Javier Viquez T,2013-11-12,11:00:00,DHL,GTM-6RDC3IZ0STTH5K,3,Guatemala,107
Melissa Hernandez C,2013-11-12,11:00:00,UPS,PAN-U987HH6NZPJZPJ,1,Panama,268
Victor Arias B,2013-11-12,12:00:00,Correos de Costa Rica,GTM-ZYG4YLOCC5ZP1W,1,Guatemala,291
Pedro Rodriguez O,2013-11-12,7:00:00,DHL,PAN-9UKBTGM19XJ2G0,1,Panama,308
Juan Gomez H,2013-11-12,10:00:00,DHL,GTM-6X2OSH93W19O4J,2,Guatemala,147
Melissa Hernandez C,2013-11-13,8:00:00,GoPato,GTM-04GFPUP6PJFE5R,3,Guatemala,168
Juan Gomez H,2013-11-13,13:00:00,UPS,GTM-4E1XNEFQ6WHO8L,1,Guatemala,40
Melissa Hernandez C,2013-11-13,11:00:00,FedEx,CRC-VSYEOFU92K0QQ3,2,Costa Rica,60
Javier Viquez T,2013-11-13,12:00:00,GoPato,CRC-SSKCT4LSRLV0UE,3,Costa Rica,390
Melissa Hernandez C,2013-11-14,12:00:00,FedEx,GTM-6MMTUB7H7SD8WF,1,Guatemala,168
Victor Arias B,2013-11-14,7:00:00,DHL,GTM-0C6IC0BZC88IVD,2,Guatemala,439
Juan Gomez H,2013-11-14,10:00:00,Correos de Costa Rica,GTM-I3CBY8URJ0PM1I,1,Guatemala,214
Javier Viquez T,2013-11-14,10:00:00,FedEx,GTM-8XFOTF0ZA1LT6G,3,Guatemala,231
Melissa Hernandez C,2013-11-14,8:00:00,GoPato,GTM-HU89FA9DLR8MH1,3,Guatemala,136
Pedro Rodriguez O,2013-11-15,7:00:00,UPS,GTM-159EL58BFOZH5U,2,Guatemala,26
Javier Viquez T,2013-11-15,11:00:00,GoPato,GTM-XV50XBNVQKH479,2,Guatemala,206
Pedro Rodriguez O,2013-11-15,12:00:00,Correos de Costa Rica,GTM-9Q2IYFHSGTHJMG,1,Guatemala,154
Juan Gomez H,2013-11-15,12:00:00,Correos de Costa Rica,CRC-6K1S7ZVRYY3LBE,2,Costa Rica,255
Javier Viquez T,2013-11-15,8:00:00,FedEx,PAN-DAJ4OVAHN89LDW,2,Panama,329
Pedro Rodriguez O,2013-11-16,13:00:00,DHL,CRC-REHTU0DCSQ4OQ2,2,Costa Rica,322
Pedro Rodriguez O,2013-11-16,7:00:00,Correos de Costa Rica,CRC-S55U7B02C5ZIWE,2,Costa Rica,440
Javier Viquez T,2013-11-16,12:00:00,DHL,NIC-AZ3XBTZ6HPEWEZ,1,Nicaragua,248
Victor Arias B,2013-11-16,12:00:00,UPS,PAN-FJ4R8NVD8UNVUH,3,Panama,324
Pedro Rodriguez O,2013-11-17,7:00:00,Correos de Costa Rica,GTM-AOX385C8NS7JG2,3,Guatemala,239
Melissa Hernandez C,2013-11-17,10:00:00,GoPato,NIC-BIXU0O5JEMVJII,2,Nicaragua,177
Pedro Rodriguez O,2013-11-17,11:00:00,Correos de Costa Rica,CRC-1UHLIPI0FMRPL9,1,Costa Rica,387
Melissa Hernandez C,2013-11-17,7:00:00,DHL,CRC-L0FMF9N9KWKJ96,3,Costa Rica,387
Pedro Rodriguez O,2013-11-18,11:00:00,GoPato,CRC-BN2AMISBX6035B,2,Costa Rica,349
Victor Arias B,2013-11-18,13:00:00,DHL,CRC-OHN366BBTIYUT0,1,Costa Rica,424
Melissa Hernandez C,2013-11-18,13:00:00,DHL,PAN-7LXPIU6WSST29U,3,Panama,197
Victor Arias B,2013-11-18,11:00:00,UPS,CRC-8LG3SJDSA0D7A5,1,Costa Rica,137
Javier Viquez T,2013-11-18,13:00:00,FedEx,PAN-64T4K3Y54G2PW3,3,Panama,363
Victor Arias B,2013-11-19,8:00:00,DHL,PAN-OOU6UY8WDNG1SW,2,Panama,69
Pedro Rodriguez O,2013-11-19,8:00:00,GoPato,NIC-3N44DZ8PYNV85G,1,Nicaragua,244
Victor Arias B,2013-11-19,12:00:00,FedEx,CRC-FKKKV88E0JBXFV,2,Costa Rica,294
Juan Gomez H,2013-11-19,8:00:00,FedEx,GTM-TP3EQ9UEMHK852,2,Guatemala,112
Javier Viquez T,2013-11-20,13:00:00,Correos de Costa Rica,PAN-5FGP4QE1R15DZT,2,Panama,210
Javier Viquez T,2013-11-20,12:00:00,GoPato,PAN-Y939828ZMFWJVF,1,Panama,192
Javier Viquez T,2013-11-20,11:00:00,Correos de Costa Rica,CRC-HERGCDYMVY5B79,3,Costa Rica,426
Melissa Hernandez C,2013-11-20,7:00:00,UPS,PAN-440OXP5UD27AGH,2,Panama,172
Javier Viquez T,2013-11-20,7:00:00,Correos de Costa Rica,GTM-77DXX35KJ3TOXI,1,Guatemala,47
Victor Arias B,2013-11-20,11:00:00,UPS,PAN-8RXI5F2WS0JSU7,3,Panama,421
Javier Viquez T,2013-11-21,13:00:00,FedEx,CRC-AEPD4MKMI61YJM,2,Costa Rica,441
Juan Gomez H,2013-11-21,13:00:00,DHL,CRC-VE4WEXYFG3IOAR,3,Costa Rica,37
Melissa Hernandez C,2013-11-21,12:00:00,DHL,PAN-Q9Z2OGY1MLMJPS,3,Panama,12
Victor Arias B,2013-11-21,8:00:00,FedEx,GTM-4S732KZ0F4R14D,3,Guatemala,312
Victor Arias B,2013-11-22,11:00:00,FedEx,NIC-NL73JQ2DGW7XSI,2,Nicaragua,305
Victor Arias B,2013-11-22,10:00:00,FedEx,CRC-9CX7RPAP6RTVGV,3,Costa Rica,123
Pedro Rodriguez O,2013-11-22,9:00:00,GoPato,-L479T6IUA563EZ,3,Pais,1
Juan Gomez H,2013-11-23,8:00:00,GoPato,GTM-JCQHTEWQMWQM25,2,Guatemala,357
Pedro Rodriguez O,2013-11-23,13:00:00,FedEx,PAN-2PLDL5QX8CHSG9,2,Panama,277
Melissa Hernandez C,2013-11-23,8:00:00,GoPato,GTM-3W2HIOXJ9A6A6J,2,Guatemala,232
Javier Viquez T,2013-11-23,12:00:00,FedEx,CRC-ODLAS7ECL4AB0H,3,Costa Rica,306
Pedro Rodriguez O,2013-11-23,10:00:00,GoPato,GTM-RHCE10GV4JR3CW,3,Guatemala,301
Melissa Hernandez C,2013-11-24,9:00:00,FedEx,CRC-U56VLAR1U8WYNZ,3,Costa Rica,65
Victor Arias B,2013-11-24,11:00:00,FedEx,PAN-RCTM0ZONLBS5SG,2,Panama,404
Melissa Hernandez C,2013-11-24,12:00:00,DHL,CRC-FQF2LOTMY5BLJA,3,Costa Rica,355
Juan Gomez H,2013-11-25,8:00:00,DHL,GTM-ILF20XQ4JPTULW,1,Guatemala,407
Pedro Rodriguez O,2013-11-25,9:00:00,FedEx,GTM-H6S5APHT43YQ2O,2,Guatemala,20
Pedro Rodriguez O,2013-11-25,8:00:00,FedEx,NIC-QU6JT6MRD73EAB,2,Nicaragua,55
Melissa Hernandez C,2013-11-25,10:00:00,FedEx,NIC-C2E00Y0IF1NXFI,2,Nicaragua,237
Victor Arias B,2013-11-26,10:00:00,UPS,NIC-V9TBGMVWTNQGEJ,2,Nicaragua,45
Pedro Rodriguez O,2013-11-26,8:00:00,Correos de Costa Rica,NIC-7HACNSQN94549V,1,Nicaragua,174
Pedro Rodriguez O,2013-11-26,7:00:00,GoPato,PAN-IDSC8KSUMWDYK0,2,Panama,336
Juan Gomez H,2013-11-26,9:00:00,UPS,GTM-S0LCSZB4MBREQ6,3,Guatemala,428
Juan Gomez H,2013-11-26,11:00:00,Correos de Costa Rica,CRC-9MIR8YVBYUQ84M,3,Costa Rica,148
Pedro Rodriguez O,2013-11-27,8:00:00,UPS,PAN-A3MZ1G3HZYTXE3,3,Panama,308
Melissa Hernandez C,2013-11-27,8:00:00,Correos de Costa Rica,GTM-ATSDF90MHD42Z8,3,Guatemala,218
Victor Arias B,2013-11-27,7:00:00,Correos de Costa Rica,PAN-U9AID828CO0J4R,1,Panama,327
Melissa Hernandez C,2013-11-27,10:00:00,FedEx,GTM-B60G0QUNX1AA2V,1,Guatemala,84
Victor Arias B,2013-11-27,10:00:00,UPS,NIC-EJWUSHHH3A9T0C,1,Nicaragua,275
Javier Viquez T,2013-11-28,10:00:00,Correos de Costa Rica,GTM-KDV6I6XVHCF6GQ,3,Guatemala,99
Javier Viquez T,2013-11-28,12:00:00,FedEx,GTM-EBRQA74U6IVVDU,2,Guatemala,91
Javier Viquez T,2013-11-28,8:00:00,FedEx,GTM-OG5EGN580TU5C2,1,Guatemala,129
Juan Gomez H,2013-11-28,9:00:00,GoPato,PAN-CGMQXSCCB1S869,1,Panama,282
Victor Arias B,2013-11-28,11:00:00,FedEx,CRC-IBB1RU9MGEKOAG,3,Costa Rica,253
Juan Gomez H,2013-11-29,10:00:00,DHL,GTM-VF2725CZRMC5JL,1,Guatemala,35
Melissa Hernandez C,2013-11-29,10:00:00,FedEx,PAN-B941WKTTXXXOTO,3,Panama,160
Javier Viquez T,2013-11-29,9:00:00,FedEx,GTM-MC8HKIOP2QG441,2,Guatemala,168
Juan Gomez H,2013-11-29,7:00:00,Correos de Costa Rica,PAN-ZOCUS04PLERXSM,3,Panama,351
Victor Arias B,2013-11-30,7:00:00,GoPato,PAN-Z29ENAW4RVY1BB,3,Panama,229
Victor Arias B,2013-11-30,11:00:00,DHL,PAN-XDH7S5ZI8X0F9I,3,Panama,317
Juan Gomez H,2013-11-30,10:00:00,UPS,GTM-6YQT3Y3OV7C0PV,3,Guatemala,196
Victor Arias B,2013-12-01,10:00:00,Correos de Costa Rica,NIC-KKBMABWX2CCIVN,1,Nicaragua,419
Pedro Rodriguez O,2013-12-01,8:00:00,FedEx,NIC-QHLPN7A7DXXJNP,3,Nicaragua,78
Javier Viquez T,2013-12-01,7:00:00,FedEx,CRC-R7FKGJ2P2MKTFU,3,Costa Rica,270
Javier Viquez T,2013-12-01,13:00:00,DHL,PAN-WDEGDWKLK459J0,1,Panama,446
Melissa Hernandez C,2013-12-01,10:00:00,GoPato,CRC-C4DX2ZPIF7GWZ6,1,Costa Rica,354
Pedro Rodriguez O,2013-12-01,10:00:00,GoPato,CRC-MNIL4GBTDQ8QX0,3,Costa Rica,270
Juan Gomez H,2013-12-02,13:00:00,UPS,GTM-P2R6CIB83WPG2C,1,Guatemala,348
Melissa Hernandez C,2013-12-02,7:00:00,DHL,NIC-2Z5A4KCC3Q0U8D,2,Nicaragua,177
Melissa Hernandez C,2013-12-02,11:00:00,DHL,GTM-VLWALCWBKQOM5P,3,Guatemala,301
Melissa Hernandez C,2013-12-02,12:00:00,DHL,CRC-RF9BIB2WXW438D,1,Costa Rica,137
Pedro Rodriguez O,2013-12-02,11:00:00,GoPato,GTM-OG91VANY8OSW25,2,Guatemala,40
Pedro Rodriguez O,2013-12-02,11:00:00,Correos de Costa Rica,GTM-AYOIL6CDMHH7IB,3,Guatemala,16
Victor Arias B,2013-12-03,9:00:00,GoPato,NIC-QIU6F36DD183BM,2,Nicaragua,356
Pedro Rodriguez O,2013-12-03,7:00:00,Correos de Costa Rica,NIC-6Q4SNN06VW3AUJ,1,Nicaragua,429
Melissa Hernandez C,2013-12-03,8:00:00,GoPato,GTM-7SFSEPHF5H8SEW,1,Guatemala,171
Victor Arias B,2013-12-03,11:00:00,GoPato,GTM-T5YTVTLCCAT1XD,2,Guatemala,32
Javier Viquez T,2013-12-03,9:00:00,Correos de Costa Rica,PAN-7S1TGPYDJXLNOD,2,Panama,362
Pedro Rodriguez O,2013-12-04,9:00:00,UPS,CRC-GNK52HI9ABKFI9,1,Costa Rica,100
Melissa Hernandez C,2013-12-04,7:00:00,UPS,GTM-IA6PU0WQHSPGXO,3,Guatemala,206
Pedro Rodriguez O,2013-12-04,7:00:00,FedEx,GTM-PV8I0TH7P8UXTC,2,Guatemala,23
Juan Gomez H,2013-12-04,12:00:00,DHL,CRC-TACGAOOGYMQO4S,2,Costa Rica,28
Melissa Hernandez C,2013-12-05,12:00:00,GoPato,GTM-UCZ3VTT74RS1LJ,1,Guatemala,376
Juan Gomez H,2013-12-05,13:00:00,FedEx,GTM-9VGKJFD9VB649T,1,Guatemala,181
Pedro Rodriguez O,2013-12-05,13:00:00,Correos de Costa Rica,CRC-H6B08OTNU003VF,1,Costa Rica,264
Pedro Rodriguez O,2013-12-05,12:00:00,GoPato,GTM-JLPN9U63DBDW3G,1,Guatemala,124
Melissa Hernandez C,2013-12-05,12:00:00,DHL,CRC-C3XLNKZ2C5ZBST,3,Costa Rica,54
Javier Viquez T,2013-12-05,13:00:00,DHL,PAN-GZP8OGY1I3T5M7,3,Panama,113
Pedro Rodriguez O,2013-12-06,10:00:00,GoPato,GTM-6WU5NRA3FZAG8T,1,Guatemala,94
Victor Arias B,2013-12-06,9:00:00,FedEx,NIC-ZVH4HRA3LB1CLR,1,Nicaragua,146
Melissa Hernandez C,2013-12-06,8:00:00,Correos de Costa Rica,NIC-ITZ3S0PGKTXWKQ,2,Nicaragua,287
Victor Arias B,2013-12-06,7:00:00,UPS,GTM-ULBF24K34SNMUI,2,Guatemala,223
Pedro Rodriguez O,2013-12-06,13:00:00,DHL,GTM-F1Z6E3AKGC7AY8,1,Guatemala,310
Javier Viquez T,2013-12-06,8:00:00,UPS,PAN-3YIFJTN3ID14N2,3,Panama,71
Javier Viquez T,2013-12-07,9:00:00,DHL,GTM-MJJEDY5D595RDQ,3,Guatemala,359
Melissa Hernandez C,2013-12-07,12:00:00,Correos de Costa Rica,GTM-NLV93TAAD380ZA,3,Guatemala,312
Pedro Rodriguez O,2013-12-07,12:00:00,UPS,GTM-QF48C3W4VGNILK,1,Guatemala,239
Juan Gomez H,2013-12-08,9:00:00,Correos de Costa Rica,CRC-S4QWDKGBEKV3Z7,1,Costa Rica,251
Pedro Rodriguez O,2013-12-08,9:00:00,FedEx,GTM-RRSUQN271D1EDT,3,Guatemala,408
Victor Arias B,2013-12-08,8:00:00,FedEx,NIC-0MI6UVBH7EPFK4,2,Nicaragua,8
Pedro Rodriguez O,2013-12-08,7:00:00,DHL,GTM-9RHXTJNPKTLA6P,1,Guatemala,138
Victor Arias B,2013-12-09,8:00:00,UPS,CRC-GLQ5BA7D63URT3,3,Costa Rica,9
Juan Gomez H,2013-12-09,11:00:00,DHL,GTM-XAU3MHG4X8O4UT,1,Guatemala,265
Melissa Hernandez C,2013-12-09,11:00:00,Correos de Costa Rica,PAN-JGT8GE2EYMR8WB,3,Panama,42
Pedro Rodriguez O,2013-12-09,11:00:00,DHL,NIC-B0269D7FVB8PKP,2,Nicaragua,418
Victor Arias B,2013-12-09,8:00:00,FedEx,PAN-HEFI5KKW0ZZPCC,3,Panama,256
Javier Viquez T,2013-12-10,13:00:00,GoPato,GTM-AES6PF5S01USW1,2,Guatemala,73
Melissa Hernandez C,2013-12-10,11:00:00,UPS,CRC-CL292IH9J306VG,3,Costa Rica,164
Melissa Hernandez C,2013-12-10,7:00:00,FedEx,GTM-J2Y7J1KWW2SYEZ,3,Guatemala,231
Juan Gomez H,2013-12-10,12:00:00,UPS,PAN-BQULXPBRU4YGDJ,1,Panama,362
Pedro Rodriguez O,2013-12-10,13:00:00,UPS,CRC-4LNAZIJRQKNI36,1,Costa Rica,320
Melissa Hernandez C,2013-12-11,7:00:00,UPS,CRC-33SQGPDEKMGWQW,1,Costa Rica,191
Melissa Hernandez C,2013-12-11,7:00:00,DHL,GTM-PS8QIIL3PSMJYX,2,Guatemala,241
Melissa Hernandez C,2013-12-11,10:00:00,UPS,GTM-S3N0FIPSJQB9HB,3,Guatemala,249
Pedro Rodriguez O,2013-12-11,8:00:00,UPS,PAN-LPFOJSAP8RNLCF,2,Panama,362
Victor Arias B,2013-12-12,10:00:00,Correos de Costa Rica,GTM-X282JU3ZV88GAT,3,Guatemala,370
Melissa Hernandez C,2013-12-12,13:00:00,UPS,GTM-WZ50XI4W2QX5QV,3,Guatemala,291
Juan Gomez H,2013-12-12,12:00:00,FedEx,PAN-JWIKF3RPNB1FP2,3,Panama,127
Melissa Hernandez C,2013-12-13,8:00:00,FedEx,GTM-VC0C7YT4FTX2E1,3,Guatemala,122
Melissa Hernandez C,2013-12-13,10:00:00,UPS,CRC-MDP2YF0VHCCZSH,1,Costa Rica,46
Javier Viquez T,2013-12-13,8:00:00,Correos de Costa Rica,GTM-0IUXA6VMGWDUMD,2,Guatemala,396
Juan Gomez H,2013-12-13,10:00:00,DHL,PAN-2NXHAQTG4STV3Z,2,Panama,176
Melissa Hernandez C,2013-12-13,12:00:00,FedEx,CRC-XFFPA7LPRBX2U8,1,Costa Rica,251
Pedro Rodriguez O,2013-12-13,13:00:00,DHL,PAN-VJ22FAZAF30B68,2,Panama,315
Victor Arias B,2013-12-14,11:00:00,FedEx,PAN-A5G99G3XQAMCPZ,3,Panama,404
Melissa Hernandez C,2013-12-14,8:00:00,Correos de Costa Rica,GTM-NUZG6MNAVHRTR3,3,Guatemala,399
Victor Arias B,2013-12-14,9:00:00,GoPato,PAN-LS32EEC643H46B,1,Panama,3
Victor Arias B,2013-12-14,11:00:00,GoPato,CRC-G93PUWJYN8ZMUY,1,Costa Rica,54
Javier Viquez T,2013-12-14,13:00:00,DHL,NIC-E8JD5XAJBN9PLT,2,Nicaragua,278
Victor Arias B,2013-12-15,12:00:00,DHL,GTM-U4L75RTKA0J3YV,3,Guatemala,106
Melissa Hernandez C,2013-12-15,7:00:00,GoPato,GTM-0V5CHCTZLTCX25,1,Guatemala,375
Victor Arias B,2013-12-15,11:00:00,UPS,PAN-9IUPARX9KVSKA8,2,Panama,113
Pedro Rodriguez O,2013-12-15,8:00:00,Correos de Costa Rica,PAN-XU8U3SXD4JYTEJ,2,Panama,421
Juan Gomez H,2013-12-15,13:00:00,UPS,GTM-Y3RKTAHNWLN7H9,2,Guatemala,400
Juan Gomez H,2013-12-16,13:00:00,FedEx,NIC-A2JWZ1VUP2H4Y9,1,Nicaragua,419
Victor Arias B,2013-12-16,8:00:00,DHL,PAN-BZ1WU2BNSXZOSD,1,Panama,302
Juan Gomez H,2013-12-16,12:00:00,GoPato,GTM-K6JUW70D2XM6VZ,2,Guatemala,101
Victor Arias B,2013-12-16,7:00:00,DHL,PAN-SQT40IZ1SIGQT6,1,Panama,69
Victor Arias B,2013-12-16,11:00:00,GoPato,GTM-LBMW5HZLGKIBQU,1,Guatemala,101
Victor Arias B,2013-12-16,9:00:00,GoPato,NIC-9L5TCDJ6GPAYCH,1,Nicaragua,292
Javier Viquez T,2013-12-16,8:00:00,DHL,GTM-Y093WAEGIBT3WQ,2,Guatemala,107
Pedro Rodriguez O,2013-12-16,10:00:00,GoPato,CRC-M4USYBDJLY0JI1,1,Costa Rica,203
Juan Gomez H,2013-12-17,7:00:00,DHL,CRC-AS5AYL4TDLHQVC,2,Costa Rica,108
Victor Arias B,2013-12-17,7:00:00,FedEx,NIC-BYUUT21311C57H,1,Nicaragua,331
Juan Gomez H,2013-12-17,10:00:00,UPS,NIC-JIPH09MUM08PMB,1,Nicaragua,92
Javier Viquez T,2013-12-17,7:00:00,UPS,PAN-PAKAKOFALQR97B,1,Panama,3
Pedro Rodriguez O,2013-12-17,8:00:00,FedEx,GTM-B5AO5YVQE5LBG1,1,Guatemala,59
Pedro Rodriguez O,2013-12-17,13:00:00,Correos de Costa Rica,PAN-ZBXJ3L2T3NLO86,3,Panama,308
Juan Gomez H,2013-12-17,13:00:00,DHL,NIC-V9X9OF4N95KECR,3,Nicaragua,258
Victor Arias B,2013-12-18,11:00:00,UPS,GTM-4AXILPJSBHKTII,3,Guatemala,109
Javier Viquez T,2013-12-18,10:00:00,GoPato,CRC-46AYMTGGLNGA5O,2,Costa Rica,170
Juan Gomez H,2013-12-18,11:00:00,UPS,CRC-Z7CPQAJFBPO4K1,1,Costa Rica,339
Juan Gomez H,2013-12-18,11:00:00,DHL,NIC-XG0Z23K44AKX96,1,Nicaragua,190
Melissa Hernandez C,2013-12-18,12:00:00,FedEx,CRC-BMIJCMG6GOU1I1,2,Costa Rica,320
Melissa Hernandez C,2013-12-19,12:00:00,UPS,CRC-64MRSYLXO7N0CP,3,Costa Rica,137
Pedro Rodriguez O,2013-12-19,13:00:00,FedEx,CRC-BIK8DZ10OKDEU0,3,Costa Rica,207
Victor Arias B,2013-12-19,11:00:00,GoPato,CRC-7B7M7NANBEA406,3,Costa Rica,338
Juan Gomez H,2013-12-19,7:00:00,Correos de Costa Rica,CRC-TNYURO961YIPBG,1,Costa Rica,14
Victor Arias B,2013-12-20,11:00:00,DHL,NIC-NITOOKZ28XKO9N,2,Nicaragua,356
Pedro Rodriguez O,2013-12-20,9:00:00,DHL,PAN-M3YHVTIL0IJB5I,2,Panama,423
Victor Arias B,2013-12-20,7:00:00,FedEx,CRC-CEA77UL7ZHA7WN,3,Costa Rica,251
Victor Arias B,2013-12-20,10:00:00,UPS,CRC-X6DZU7EKZJ4726,3,Costa Rica,377
Pedro Rodriguez O,2013-12-21,9:00:00,Correos de Costa Rica,GTM-F51NT2XY1FOLD9,3,Guatemala,219
Pedro Rodriguez O,2013-12-21,11:00:00,FedEx,GTM-YMD0ZC4LL2Z8ET,3,Guatemala,201
Victor Arias B,2013-12-21,9:00:00,GoPato,CRC-UQT4S60859RPUM,1,Costa Rica,441
Javier Viquez T,2013-12-22,8:00:00,DHL,GTM-Z1MOYRU7VCQ84R,2,Guatemala,300
Javier Viquez T,2013-12-22,10:00:00,DHL,NIC-JWKJUMBNYRSS33,2,Nicaragua,78
Pedro Rodriguez O,2013-12-22,9:00:00,GoPato,CRC-5C2AQ184KBMI2D,2,Costa Rica,64
Melissa Hernandez C,2013-12-22,7:00:00,UPS,CRC-O0RZMHDFNOMIAZ,2,Costa Rica,417
Javier Viquez T,2013-12-22,8:00:00,DHL,NIC-5D9OPYA3LKRYV9,3,Nicaragua,331
Pedro Rodriguez O,2013-12-23,12:00:00,GoPato,CRC-GMR5EFDOZCOBM9,2,Costa Rica,170
Victor Arias B,2013-12-23,13:00:00,Correos de Costa Rica,NIC-4MG45UQD3EKY94,2,Nicaragua,145
Javier Viquez T,2013-12-23,13:00:00,UPS,NIC-T8JF0DN09BH163,1,Nicaragua,366
Javier Viquez T,2013-12-23,7:00:00,GoPato,GTM-CKAYLB14IDI7AR,3,Guatemala,247
Pedro Rodriguez O,2013-12-24,8:00:00,GoPato,CRC-1V4HC9R0QW23MU,2,Costa Rica,276
Melissa Hernandez C,2013-12-24,9:00:00,UPS,GTM-QDO9WV8YMY11Y0,3,Guatemala,31
Pedro Rodriguez O,2013-12-24,7:00:00,DHL,CRC-0RVGUY8DH4BR2L,1,Costa Rica,294
Javier Viquez T,2013-12-24,9:00:00,UPS,CRC-O73W801RPF6E1Q,2,Costa Rica,387
Javier Viquez T,2013-12-25,13:00:00,FedEx,GTM-7FSGU1774CW7DS,1,Guatemala,450
Pedro Rodriguez O,2013-12-25,11:00:00,Correos de Costa Rica,PAN-QUKSAVQLZ362BM,1,Panama,12
Juan Gomez H,2013-12-25,9:00:00,GoPato,CRC-H5GC0BOULJHQAH,3,Costa Rica,56
Javier Viquez T,2013-12-25,13:00:00,FedEx,GTM-VEVC4YGNMDZW75,3,Guatemala,10
Victor Arias B,2013-12-26,8:00:00,DHL,GTM-GCJEE4IU5YY2QJ,3,Guatemala,96
Juan Gomez H,2013-12-26,10:00:00,Correos de Costa Rica,GTM-L0JDVKOAYLZ5QA,1,Guatemala,109
Pedro Rodriguez O,2013-12-26,13:00:00,DHL,GTM-ALGYFQHEMO0JOI,3,Guatemala,58
Juan Gomez H,2013-12-27,7:00:00,DHL,GTM-VUE2A52P07N8AN,1,Guatemala,450
Victor Arias B,2013-12-27,7:00:00,FedEx,CRC-DW1EMBREM7HEWC,3,Costa Rica,352
Pedro Rodriguez O,2013-12-27,13:00:00,GoPato,PAN-BXL29E0GX7PNTS,2,Panama,43
Juan Gomez H,2013-12-27,8:00:00,DHL,GTM-Q1RI7QJB4O518B,1,Guatemala,119
Javier Viquez T,2013-12-27,10:00:00,Correos de Costa Rica,PAN-ILS15O0R4DAQHL,2,Panama,210
Melissa Hernandez C,2013-12-28,12:00:00,Correos de Costa Rica,CRC-9P49OG3SM93IQI,1,Costa Rica,441
Pedro Rodriguez O,2013-12-28,7:00:00,GoPato,GTM-UCHVKLNBFQQGYA,1,Guatemala,219
Juan Gomez H,2013-12-28,7:00:00,DHL,CRC-8FVP1SLZ8AJM82,2,Costa Rica,387
Melissa Hernandez C,2013-12-28,9:00:00,Correos de Costa Rica,NIC-ZMJB45ISD6TGPT,3,Nicaragua,358
Juan Gomez H,2013-12-28,11:00:00,GoPato,GTM-HHHA1I0NNZDIUP,1,Guatemala,93
Javier Viquez T,2013-12-28,13:00:00,Correos de Costa Rica,GTM-MS2MQ9KQF5EPV0,2,Guatemala,231
Melissa Hernandez C,2013-12-29,13:00:00,GoPato,PAN-B62F3SQCOK3BI9,1,Panama,211
Melissa Hernandez C,2013-12-29,10:00:00,GoPato,CRC-RSDYUGUP4UIR9H,2,Costa Rica,264
Juan Gomez H,2013-12-29,13:00:00,GoPato,GTM-6CH6MA9CTQH2ME,2,Guatemala,241
Melissa Hernandez C,2013-12-29,9:00:00,UPS,GTM-CUZC3960LSNMMU,3,Guatemala,425
Juan Gomez H,2013-12-29,7:00:00,UPS,CRC-RWOMTONM2XBDGS,2,Costa Rica,169
Juan Gomez H,2013-12-30,8:00:00,Correos de Costa Rica,CRC-1EG4B7Z63MF0QP,2,Costa Rica,46
Victor Arias B,2013-12-30,12:00:00,UPS,GTM-M5164AJSR6Y24V,1,Guatemala,31
Melissa Hernandez C,2013-12-30,7:00:00,DHL,CRC-OM1Z7JWFLPP95Z,1,Costa Rica,144
